trial_id,subject_id,session_id,run_id,class_id,trial_in_run,onset_s,duration_s,n_samples
A01_0train_run_0_t00,A01,0train,run_0,3,0,3.0,4.0,1000
A01_0train_run_0_t01,A01,0train,run_0,2,1,11.012,4.0,1000
A01_0train_run_0_t02,A01,0train,run_0,1,2,18.684,4.0,1000
A01_0train_run_0_t03,A01,0train,run_0,0,3,26.492,4.0,1000
A01_0train_run_0_t04,A01,0train,run_0,0,4,34.524,4.0,1000
A01_0train_run_0_t05,A01,0train,run_0,1,5,42.968,4.0,1000
A01_0train_run_0_t06,A01,0train,run_0,2,6,50.636,4.0,1000
A01_0train_run_0_t07,A01,0train,run_0,3,7,58.836,4.0,1000
A01_0train_run_0_t08,A01,0train,run_0,1,8,66.56,4.0,1000
A01_0train_run_0_t09,A01,0train,run_0,2,9,74.552,4.0,1000
A01_0train_run_0_t10,A01,0train,run_0,0,10,82.176,4.0,1000
A01_0train_run_0_t11,A01,0train,run_0,0,11,89.756,4.0,1000
A01_0train_run_0_t12,A01,0train,run_0,0,12,97.644,4.0,1000
A01_0train_run_0_t13,A01,0train,run_0,3,13,105.42,4.0,1000
A01_0train_run_0_t14,A01,0train,run_0,1,14,113.288,4.0,1000
A01_0train_run_0_t15,A01,0train,run_0,1,15,121.768,4.0,1000
A01_0train_run_0_t16,A01,0train,run_0,0,16,129.8,4.0,1000
A01_0train_run_0_t17,A01,0train,run_0,0,17,138.064,4.0,1000
A01_0train_run_0_t18,A01,0train,run_0,2,18,146.208,4.0,1000
A01_0train_run_0_t19,A01,0train,run_0,0,19,154.472,4.0,1000
A01_0train_run_0_t20,A01,0train,run_0,1,20,162.752,4.0,1000
A01_0train_run_0_t21,A01,0train,run_0,3,21,171.072,4.0,1000
A01_0train_run_0_t22,A01,0train,run_0,3,22,178.72,4.0,1000
A01_0train_run_0_t23,A01,0train,run_0,2,23,186.844,4.0,1000
A01_0train_run_0_t24,A01,0train,run_0,0,24,194.656,4.0,1000
A01_0train_run_0_t25,A01,0train,run_0,3,25,202.5,4.0,1000
A01_0train_run_0_t26,A01,0train,run_0,3,26,210.916,4.0,1000
A01_0train_run_0_t27,A01,0train,run_0,1,27,218.932,4.0,1000
A01_0train_run_0_t28,A01,0train,run_0,3,28,226.832,4.0,1000
A01_0train_run_0_t29,A01,0train,run_0,3,29,234.936,4.0,1000
A01_0train_run_0_t30,A01,0train,run_0,1,30,243.22,4.0,1000
A01_0train_run_0_t31,A01,0train,run_0,0,31,251.648,4.0,1000
A01_0train_run_0_t32,A01,0train,run_0,1,32,260.016,4.0,1000
A01_0train_run_0_t33,A01,0train,run_0,2,33,268.38,4.0,1000
A01_0train_run_0_t34,A01,0train,run_0,2,34,276.552,4.0,1000
A01_0train_run_0_t35,A01,0train,run_0,2,35,284.808,4.0,1000
A01_0train_run_0_t36,A01,0train,run_0,3,36,292.888,4.0,1000
A01_0train_run_0_t37,A01,0train,run_0,2,37,300.776,4.0,1000
A01_0train_run_0_t38,A01,0train,run_0,0,38,308.628,4.0,1000
A01_0train_run_0_t39,A01,0train,run_0,3,39,316.328,4.0,1000
A01_0train_run_0_t40,A01,0train,run_0,1,40,324.652,4.0,1000
A01_0train_run_0_t41,A01,0train,run_0,2,41,332.564,4.0,1000
A01_0train_run_0_t42,A01,0train,run_0,1,42,340.524,4.0,1000
A01_0train_run_0_t43,A01,0train,run_0,2,43,349.0,4.0,1000
A01_0train_run_0_t44,A01,0train,run_0,3,44,356.624,4.0,1000
A01_0train_run_0_t45,A01,0train,run_0,1,45,364.336,4.0,1000
A01_0train_run_0_t46,A01,0train,run_0,2,46,372.792,4.0,1000
A01_0train_run_0_t47,A01,0train,run_0,0,47,381.028,4.0,1000
A01_0train_run_1_t00,A01,0train,run_1,0,0,3.0,4.0,1000
A01_0train_run_1_t01,A01,0train,run_1,0,1,11.012,4.0,1000
A01_0train_run_1_t02,A01,0train,run_1,3,2,18.684,4.0,1000
A01_0train_run_1_t03,A01,0train,run_1,1,3,26.492,4.0,1000
A01_0train_run_1_t04,A01,0train,run_1,0,4,34.524,4.0,1000
A01_0train_run_1_t05,A01,0train,run_1,2,5,42.968,4.0,1000
A01_0train_run_1_t06,A01,0train,run_1,0,6,50.636,4.0,1000
A01_0train_run_1_t07,A01,0train,run_1,2,7,58.836,4.0,1000
A01_0train_run_1_t08,A01,0train,run_1,1,8,66.56,4.0,1000
A01_0train_run_1_t09,A01,0train,run_1,3,9,74.552,4.0,1000
A01_0train_run_1_t10,A01,0train,run_1,0,10,82.176,4.0,1000
A01_0train_run_1_t11,A01,0train,run_1,2,11,89.756,4.0,1000
A01_0train_run_1_t12,A01,0train,run_1,2,12,97.644,4.0,1000
A01_0train_run_1_t13,A01,0train,run_1,0,13,105.42,4.0,1000
A01_0train_run_1_t14,A01,0train,run_1,2,14,113.288,4.0,1000
A01_0train_run_1_t15,A01,0train,run_1,1,15,121.768,4.0,1000
A01_0train_run_1_t16,A01,0train,run_1,3,16,129.8,4.0,1000
A01_0train_run_1_t17,A01,0train,run_1,3,17,138.064,4.0,1000
A01_0train_run_1_t18,A01,0train,run_1,3,18,146.208,4.0,1000
A01_0train_run_1_t19,A01,0train,run_1,2,19,154.472,4.0,1000
A01_0train_run_1_t20,A01,0train,run_1,0,20,162.752,4.0,1000
A01_0train_run_1_t21,A01,0train,run_1,3,21,171.072,4.0,1000
A01_0train_run_1_t22,A01,0train,run_1,1,22,178.72,4.0,1000
A01_0train_run_1_t23,A01,0train,run_1,3,23,186.844,4.0,1000
A01_0train_run_1_t24,A01,0train,run_1,1,24,194.656,4.0,1000
A01_0train_run_1_t25,A01,0train,run_1,0,25,202.5,4.0,1000
A01_0train_run_1_t26,A01,0train,run_1,2,26,210.916,4.0,1000
A01_0train_run_1_t27,A01,0train,run_1,1,27,218.932,4.0,1000
A01_0train_run_1_t28,A01,0train,run_1,0,28,226.832,4.0,1000
A01_0train_run_1_t29,A01,0train,run_1,2,29,234.936,4.0,1000
A01_0train_run_1_t30,A01,0train,run_1,2,30,243.22,4.0,1000
A01_0train_run_1_t31,A01,0train,run_1,0,31,251.648,4.0,1000
A01_0train_run_1_t32,A01,0train,run_1,2,32,260.016,4.0,1000
A01_0train_run_1_t33,A01,0train,run_1,3,33,268.38,4.0,1000
A01_0train_run_1_t34,A01,0train,run_1,3,34,276.552,4.0,1000
A01_0train_run_1_t35,A01,0train,run_1,1,35,284.808,4.0,1000
A01_0train_run_1_t36,A01,0train,run_1,0,36,292.888,4.0,1000
A01_0train_run_1_t37,A01,0train,run_1,1,37,300.776,4.0,1000
A01_0train_run_1_t38,A01,0train,run_1,3,38,308.628,4.0,1000
A01_0train_run_1_t39,A01,0train,run_1,1,39,316.328,4.0,1000
A01_0train_run_1_t40,A01,0train,run_1,3,40,324.652,4.0,1000
A01_0train_run_1_t41,A01,0train,run_1,2,41,332.564,4.0,1000
A01_0train_run_1_t42,A01,0train,run_1,1,42,340.524,4.0,1000
A01_0train_run_1_t43,A01,0train,run_1,1,43,349.0,4.0,1000
A01_0train_run_1_t44,A01,0train,run_1,1,44,356.624,4.0,1000
A01_0train_run_1_t45,A01,0train,run_1,2,45,364.336,4.0,1000
